ROLLNO,Programme Code,Scheme No.,Scheme Name,Course No.,COURSE_CODE,COURSENAME,CREDITS,COURSETYPE,CA-I_MARKS,CA-II_MARKS,CA-III_MARKS,CA-IV_MARKS,IA CONSOLIDATEMARKS,TEST-I_MARKS,TEST-II_MARKS,ATTENDANCEMARKS,PCA-I_MARKS,PCA-II_MARKS,PCA_CONSLIDATEMARKS,CAMARKS,ENDSEMMARKS,GRACE,MARKS_TOTAL,GRADE,GDPOINT,REGISTERED_CREDITS,EARN_CREDITS,CUMMULATIVE_CREDITS,EGP,TOTAL_OBTD_MARKS,SGPA,CGPA,YGPA,DGPA,RESULT,PROMOTED_STATUS
138,3,5,B. Tech-Department of Civil Engineering-Civil Engineering-2019-20 (CBCS),809,ME104T,Engineering Graphics,2,Theory,,,15,,,7,,7,0,0,0,7,902,,7,FF,0,9,0,23,77,308,3.67,3.48,,,F,
138,3,5,B. Tech-Department of Civil Engineering-Civil Engineering-2019-20 (CBCS),816,AS106T,Engineering Physics,3,Theory,,,19,,,20,,20,0,0,0,20,902,,20,FF,0,9,0,23,77,308,3.67,3.48,,,F,
138,3,5,B. Tech-Department of Civil Engineering-Civil Engineering-2019-20 (CBCS),825,AS107L,Statistics & Integral Calculus,1,Practical,0,0,0,0,0,0,0,0,,,,,902,,0,FF,0,9,0,23,77,308,3.67,3.48,,,F,
138,3,5,B. Tech-Department of Civil Engineering-Civil Engineering-2019-20 (CBCS),826,AS107T,Statistics & Integral Calculus,3,Theory,,,11,,11,6,,6,0,0,0,17,902,,17,FF,0,9,0,23,77,308,3.67,3.48,,,F,
CV43,3,36,B. Tech-Civil Engineering-2023-24-Department of Civil Engineering (NEP),1968,2301103T,STATISTICS AND INTEGRAL CALCULUS,3,Theory,,,15,,15,1,,1,0,0,0,16,2,,18,F,0,22,13,14,68,368,3.09,2.07,,,F,
CV43,3,36,B. Tech-Civil Engineering-2023-24-Department of Civil Engineering (NEP),1969,2301103L,STATISTICS AND INTEGRAL CALCULUS,1,Practical,0,0,0,0,0,0,0,0,,,,12,0,,12,F,0,22,13,14,68,368,3.09,2.07,,,F,
CV43,3,36,B. Tech-Civil Engineering-2023-24-Department of Civil Engineering (NEP),1970,2301104T,SCIENCE OF NATURE,3,Theory,,,27,,27,7,,7,0,0,0,34,14,,48,F,0,22,13,14,68,368,3.09,2.07,,,F,
CV43,3,36,B. Tech-Civil Engineering-2023-24-Department of Civil Engineering (NEP),1971,2301104L,SCIENCE OF NATURE,1,Practical,0,0,0,0,0,0,0,0,,,,18,20,,38,A,8,22,13,14,68,368,3.09,2.07,,,F,
CV43,3,36,B. Tech-Civil Engineering-2023-24-Department of Civil Engineering (NEP),1972,2304102T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,8,,8,5,,5,0,0,0,13,6,,19,F,0,22,13,14,68,368,3.09,2.07,,,F,
CV43,3,36,B. Tech-Civil Engineering-2023-24-Department of Civil Engineering (NEP),1973,2304102L,ESSENTIALS OF DATA SCIENCE,1,Practical,0,0,0,0,0,0,0,0,,,,8,13,,21,P,4,22,13,14,68,368,3.09,2.07,,,F,
CV43,3,36,B. Tech-Civil Engineering-2023-24-Department of Civil Engineering (NEP),1974,2303101T,APPLIED MECHANICS,2,Theory,,,11,,11,1,,1,0,0,0,12,20,2,34,P,4,22,13,14,68,368,3.09,2.07,,,F,
CV43,3,36,B. Tech-Civil Engineering-2023-24-Department of Civil Engineering (NEP),1975,2303101L,APPLIED MECHANICS,1,Practical,0,0,0,0,0,0,0,0,,,,8,15,,23,C,5,22,13,14,68,368,3.09,2.07,,,F,
CV43,3,36,B. Tech-Civil Engineering-2023-24-Department of Civil Engineering (NEP),1976,2309101T,DESIGN THINKING,1,Theory,,,9.25,,9,,,,0,0,0,9,14,,23,B+,7,22,13,14,68,368,3.09,2.07,,,F,
CV43,3,36,B. Tech-Civil Engineering-2023-24-Department of Civil Engineering (NEP),1977,2309101L,DESIGN THINKING,1,Practical,0,0,0,0,0,0,0,0,,,,12,11,,23,B,6,22,13,14,68,368,3.09,2.07,,,F,
CV43,3,36,B. Tech-Civil Engineering-2023-24-Department of Civil Engineering (NEP),1978,2303162T,SURVEYING AND GEOMATICS,1,Theory,,,6,,6,,,,0,0,0,6,9,,15,P,4,22,13,14,68,368,3.09,2.07,,,F,
CV43,3,36,B. Tech-Civil Engineering-2023-24-Department of Civil Engineering (NEP),1979,2303162L,SURVEYING AND GEOMATICS,1,Practical,0,0,0,0,0,0,0,0,,,,9,8,,17,P,4,22,13,14,68,368,3.09,2.07,,,F,
CV43,3,36,B. Tech-Civil Engineering-2023-24-Department of Civil Engineering (NEP),1980,2303111T,BASICS OF CIVIL ENGINEERING,2,Theory,,,9,,9,8,,8,0,0,0,17,18,,35,C,5,22,13,14,68,368,3.09,2.07,,,F,
CV43,3,36,B. Tech-Civil Engineering-2023-24-Department of Civil Engineering (NEP),1981,2307183L,CREATIVE TECHNOLOGIES,2,Practical,0,0,0,0,0,0,0,0,,,,25,17,,42,B,6,22,13,14,68,368,3.09,2.07,,,F,
265,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1098,CV103T,APPLIED MECHANICS,2,Theory,,,11,,,9,,9,0,0,0,9,17,,26,FF,0,2,0,38,115,424,5.75,6,,,F,
255,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1098,CV103T,APPLIED MECHANICS,2,Theory,,,12,,12,6,,6,0,0,0,18,11,,29,FF,0,7,2,32,121,451,6.05,5.33,,,F,
255,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1150,CS104T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,13,,13,10,,10,0,0,0,23,19,,42,BC,7,7,2,32,121,451,6.05,5.33,,,F,
255,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1165,AS107T,STATISTICS & INTEGRAL CALCULUS,3,Theory,,,19,,19,5,,5,0,0,0,24,1,,25,FF,0,7,2,32,121,451,6.05,5.33,,,F,
247,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1098,CV103T,APPLIED MECHANICS,2,Theory,,,10,,,2,,2,0,0,0,2,10,,12,FF,0,7,2,35,87,351,4.35,4.85,,,F,
247,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1150,CS104T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,13,,13,9,,9,0,0,0,22,11,,33,DD,4,7,2,35,87,351,4.35,4.85,,,F,
247,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1165,AS107T,STATISTICS & INTEGRAL CALCULUS,3,Theory,,,12,,12,6,,6,0,0,0,18,2,,20,FF,0,7,2,35,87,351,4.35,4.85,,,F,
224,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1098,CV103T,APPLIED MECHANICS,2,Theory,,,13,,,5,,5,0,0,0,5,0,,5,FF,0,7,2,35,107,408,5.35,5.6,,,F,
224,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1150,CS104T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,12,,12,9,,9,0,0,0,21,16,,37,CD,5,7,2,35,107,408,5.35,5.6,,,F,
224,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1165,AS107T,STATISTICS & INTEGRAL CALCULUS,3,Theory,,,18,,18,6,,6,0,0,0,24,14,,38,FF,0,7,2,35,107,408,5.35,5.6,,,F,
201,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1098,CV103T,APPLIED MECHANICS,2,Theory,,,10,,10,0,,0,0,0,0,10,1,,11,FF,0,7,0,25,77,316,3.85,4.25,,,F,
201,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1150,CS104T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,12,,12,0,,0,0,0,0,12,10,,22,FF,0,7,0,25,77,316,3.85,4.25,,,F,
201,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1165,AS107T,STATISTICS & INTEGRAL CALCULUS,3,Theory,,,3,,3,0,,0,0,0,0,3,902,,3,FF,0,7,0,25,77,316,3.85,4.25,,,F,
274,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1150,CS104T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,11,,11,7,,7,0,0,0,18,29,,47,BB,8,2,2,40,134,438,6.7,6.5,,,P,
214,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1144,ET101T,ELECTRICAL & ELECTRONICS ENGINEERING,3,Theory,,,27,,27,16,,16,0,0,0,43,13,,56,BC,7,5,5,40,126,433,5.73,5.7,,,P,
214,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1150,CS104T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,13,,13,5,,5,0,0,0,18,18,,36,CD,5,5,5,40,126,433,5.73,5.7,,,P,
242,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1098,CV103T,APPLIED MECHANICS,2,Theory,,,14,,,5,,5,0,0,0,5,14,,19,FF,0,7,2,32,106,431,5.3,5.23,,,F,
242,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1150,CS104T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,14,,14,12,,12,0,0,0,26,13,,39,CC,6,7,2,32,106,431,5.3,5.23,,,F,
242,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1165,AS107T,STATISTICS & INTEGRAL CALCULUS,3,Theory,,,20,,20,7,,7,0,0,0,27,9,,36,FF,0,7,2,32,106,431,5.3,5.23,,,F,
253,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1098,CV103T,APPLIED MECHANICS,2,Theory,,,11,,,2,,2,0,0,0,2,7,,9,FF,0,7,2,35,108,401,5.4,5.3,,,F,
253,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1150,CS104T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,11,,11,8,,8,0,0,0,19,20,,39,CC,6,7,2,35,108,401,5.4,5.3,,,F,
253,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1165,AS107T,STATISTICS & INTEGRAL CALCULUS,3,Theory,,,20,,20,8,,8,0,0,0,28,2,,30,FF,0,7,2,35,108,401,5.4,5.3,,,F,
239,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1144,ET101T,ELECTRICAL & ELECTRONICS ENGINEERING,3,Theory,,,24,,24,8,,8,0,0,0,32,10,,42,DD,4,11,8,37,103,404,4.68,5.25,,,F,
239,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1150,CS104T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,10,,10,14,,14,0,0,0,24,15,,39,CC,6,11,8,37,103,404,4.68,5.25,,,F,
239,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1156,AS106T,ENGINEERING PHYSICS,3,Theory,,,22,,22,8,,8,0,0,0,30,3,,33,FF,0,11,8,37,103,404,4.68,5.25,,,F,
239,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1165,AS107T,STATISTICS & INTEGRAL CALCULUS,3,Theory,,,25,,25,9,,9,0,0,0,34,8,,42,DD,4,11,8,37,103,404,4.68,5.25,,,F,
257,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1156,AS106T,ENGINEERING PHYSICS,3,Theory,,,23,,23,8,,8,0,0,0,31,28,,59,BC,7,6,6,37,151,515,6.86,6.45,,,P,
257,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1165,AS107T,STATISTICS & INTEGRAL CALCULUS,3,Theory,,,21,,21,9,,9,0,0,0,30,14,,44,DD,4,6,6,37,151,515,6.86,6.45,,,P,
219,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1144,ET101T,ELECTRICAL & ELECTRONICS ENGINEERING,3,Theory,,,23,,23,5,,5,0,0,0,28,20,,48,CD,5,3,3,40,127,454,5.77,6.05,,,P,
250,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1144,ET101T,ELECTRICAL & ELECTRONICS ENGINEERING,3,Theory,,,17,,17,16,,16,0,0,0,33,16,,49,CD,5,5,5,40,131,466,5.95,5.85,,,P,
250,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1150,CS104T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,13,,13,5,,5,0,0,0,18,14,,32,DD,4,5,5,40,131,466,5.95,5.85,,,P,
202,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1165,AS107T,STATISTICS & INTEGRAL CALCULUS,3,Theory,,,21,,21,6,,6,0,0,0,27,23,,50,CC,6,3,3,40,135,465,6.14,6.35,,,P,
213,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1144,ET101T,ELECTRICAL & ELECTRONICS ENGINEERING,3,Theory,,,26,,26,11,,11,0,0,0,37,8,,45,CD,5,11,5,31,99,413,4.5,4.98,,,F,
213,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1150,CS104T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,13,,13,9,,9,0,0,0,22,11,,33,DD,4,11,5,31,99,413,4.5,4.98,,,F,
213,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1156,AS106T,ENGINEERING PHYSICS,3,Theory,,,20,,20,5,,5,0,0,0,25,902,,25,FF,0,11,5,31,99,413,4.5,4.98,,,F,
213,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1165,AS107T,STATISTICS & INTEGRAL CALCULUS,3,Theory,,,26,,26,6,,6,0,0,0,32,902,,32,FF,0,11,5,31,99,413,4.5,4.98,,,F,
263,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1157,AS106L,ENGINEERING PHYSICS,1,Practical,0,0,0,0,0,0,0,0,,,,17,15,,32,BB,8,4,1,34,107,432,4.86,5.35,,,F,
263,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1165,AS107T,STATISTICS & INTEGRAL CALCULUS,3,Theory,,,22,,22,7,,7,0,0,0,29,10,,39,FF,0,4,1,34,107,432,4.86,5.35,,,F,
272,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1098,CV103T,APPLIED MECHANICS,2,Theory,,,0,,0,11,,11,0,0,0,11,10,,21,FF,0,8,6,35,103,383,5.15,5.18,,,F,
272,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1150,CS104T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,11,,11,8,,8,0,0,0,19,19,,38,CC,6,8,6,35,103,383,5.15,5.18,,,F,
272,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1165,AS107T,STATISTICS & INTEGRAL CALCULUS,3,Theory,,,29,,29,6,,6,0,0,0,35,5,,40,DD,4,8,6,35,103,383,5.15,5.18,,,F,
272,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1166,AS107L,STATISTICS & INTEGRAL CALCULUS,1,Practical,0,0,0,0,0,0,0,0,,,,15,14,,29,BC,7,8,6,35,103,383,5.15,5.18,,,F,
205,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1163,ME107T,ENGINEERING GRAPHICS,2,Theory,,,3,,3,3,,3,0,0,0,6,22,,28,FF,0,2,0,33,114,433,5.18,5.25,,,F,
238,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1144,ET101T,ELECTRICAL & ELECTRONICS ENGINEERING,3,Theory,,,25,,25,14,,14,0,0,0,39,19,,58,BC,7,6,6,40,151,508,6.86,7.1,,,P,
238,3,6,B. Tech-Department of Civil Engineering-Civil Engineering-2022-23 (CBCS),1156,AS106T,ENGINEERING PHYSICS,3,Theory,,,21,,21,10,,10,0,0,0,31,20,,51,CC,6,6,6,40,151,508,6.86,7.1,,,P,
2104,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1264,CH101T,SCIENCE OF NATURE,3,Theory,,,17,,17,0,,0,0,0,0,17,3,,20,FF,0,12,2,24,71,293,3.55,3.88,,,F,
2104,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1265,CH101L,SCIENCE OF NATURE,1,Practical,0,0,0,0,0,0,0,0,,,,0,0,,0,FF,0,12,2,24,71,293,3.55,3.88,,,F,
2104,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1268,CS104T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,12,,12,5,,5,0,0,0,17,25,,42,BC,7,12,2,24,71,293,3.55,3.88,,,F,
2104,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1270,CV103T,APPLIED MECHANICS,2,Theory,,,7,,7,6,,6,0,0,0,13,0,,13,FF,0,12,2,24,71,293,3.55,3.88,,,F,
2104,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1283,AS107T,STATISTICS & INTEGRAL CALCULUS,3,Theory,,,902,,0,9,,9,0,0,0,9,2,,11,FF,0,12,2,24,71,293,3.55,3.88,,,F,
2104,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1284,AS107L,STATISTICS & INTEGRAL CALCULUS,1,Practical,0,0,0,0,0,0,0,0,,,,11,902,,11,FF,0,12,2,24,71,293,3.55,3.88,,,F,
2108,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1268,CS104T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,11,,11,8,,8,0,0,0,19,26,,45,BB,8,2,2,37,130,450,6.5,5.98,,,P,
2114,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1268,CS104T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,12,,12,6,,6,0,0,0,18,10,,28,FF,0,4,2,32,119,429,5.95,5.08,,,F,
2114,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1270,CV103T,APPLIED MECHANICS,2,Theory,,,12,,12,9,,9,0,0,0,21,10,,31,DD,4,4,2,32,119,429,5.95,5.08,,,F,
2116,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1268,CS104T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,0,,0,7,,7,0,0,0,7,15,,22,FF,0,2,0,38,116,435,5.8,6.23,,,F,
2118,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1270,CV103T,APPLIED MECHANICS,2,Theory,,,12,,12,9,,9,0,0,0,21,9,,30,DD,4,2,2,40,139,481,6.95,6.5,,,P,
2121,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1270,CV103T,APPLIED MECHANICS,2,Theory,,,11,,11,15,,15,0,0,0,26,8,,34,CD,5,2,2,40,132,446,6.6,6.38,,,P,
2122,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1268,CS104T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,8,,8,6,,6,0,0,0,14,24,,38,CC,6,2,2,40,140,462,7,6.8,,,P,
2123,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1264,CH101T,SCIENCE OF NATURE,3,Theory,,,25,,25,2,,2,0,0,0,27,9,,36,FF,0,6,3,35,99,381,4.95,4.93,,,F,
2123,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1265,CH101L,SCIENCE OF NATURE,1,Practical,0,0,0,0,0,0,0,0,,,,17,11,,28,BC,7,6,3,35,99,381,4.95,4.93,,,F,
2123,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1268,CS104T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,11,,11,8,,8,0,0,0,19,20,,39,CC,6,6,3,35,99,381,4.95,4.93,,,F,
2125,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1268,CS104T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,8,,8,4,,4,0,0,0,12,26,,38,CC,6,2,2,40,116,404,5.8,5.8,,,P,
2126,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1270,CV103T,APPLIED MECHANICS,2,Theory,,,12,,12,10,,10,0,0,0,22,13,,35,CD,5,2,2,40,139,479,6.95,6.58,,,P,
2127,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1270,CV103T,APPLIED MECHANICS,2,Theory,,,12,,12,7,,7,0,0,0,19,18,,37,CD,5,2,2,37,124,442,6.2,5.6,,,P,
2128,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1270,CV103T,APPLIED MECHANICS,2,Theory,,,12,,12,15,,15,0,0,0,27,4,,31,DD,4,2,2,40,129,441,6.45,6.1,,,P,
2134,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1270,CV103T,APPLIED MECHANICS,2,Theory,,,12,,12,9,,9,0,0,0,21,9,,30,DD,4,2,2,37,133,458,6.65,6.38,,,P,
2136,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1264,CH101T,SCIENCE OF NATURE,3,Theory,,,21,,21,2,,2,0,0,0,23,13,,36,FF,0,8,2,34,89,387,4.45,5.43,,,F,
2136,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1268,CS104T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,12,,12,5,,5,0,0,0,17,21,,38,CC,6,8,2,34,89,387,4.45,5.43,,,F,
2136,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1283,AS107T,STATISTICS & INTEGRAL CALCULUS,3,Theory,,,18,,18,11,,11,0,0,0,29,3,,32,FF,0,8,2,34,89,387,4.45,5.43,,,F,
2137,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1264,CH101T,SCIENCE OF NATURE,3,Theory,,,21,,21,4,,4,0,0,0,25,21,,46,CD,5,5,5,37,127,419,6.35,6,,,P,
2137,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1268,CS104T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,11,,11,8,,8,0,0,0,19,16,,35,CD,5,5,5,37,127,419,6.35,6,,,P,
2141,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1268,CS104T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,10,,10,3,,3,0,0,0,13,5,,18,FF,0,4,2,38,104,387,5.2,5.33,,,F,
2141,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1270,CV103T,APPLIED MECHANICS,2,Theory,,,11,,11,9,,9,0,0,0,20,11,,31,DD,4,4,2,38,104,387,5.2,5.33,,,F,
2145,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1270,CV103T,APPLIED MECHANICS,2,Theory,,,10,,10,6,,6,0,0,0,16,902,,16,FF,0,2,0,32,117,412,5.85,5.23,,,F,
2150,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1265,CH101L,SCIENCE OF NATURE,1,Practical,0,0,0,0,0,0,0,0,,,,2,1,,3,FF,0,11,2,20,46,211,2.3,1.9,,,F,
2150,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1268,CS104T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,9,,9,6,,6,0,0,0,15,3,,18,FF,0,11,2,20,46,211,2.3,1.9,,,F,
2150,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1269,CS104L,ESSENTIALS OF DATA SCIENCE,2,Practical,0,0,0,0,0,0,0,0,,,,0,902,,0,FF,0,11,2,20,46,211,2.3,1.9,,,F,
2150,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1270,CV103T,APPLIED MECHANICS,2,Theory,,,7,,7,15,,15,0,0,0,22,10,,32,DD,4,11,2,20,46,211,2.3,1.9,,,F,
2150,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1273,ET104L,EMERGING TECHNOLOGIES,1,Practical,0,0,0,0,0,0,0,0,,,,,902,,0,FF,0,11,2,20,46,211,2.3,1.9,,,F,
2150,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1283,AS107T,STATISTICS & INTEGRAL CALCULUS,3,Theory,,,902,,0,6,,6,0,0,0,6,3,,9,FF,0,11,2,20,46,211,2.3,1.9,,,F,
2151,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1268,CS104T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,14,,14,10,,10,0,0,0,24,14,,38,CC,6,4,4,37,141,469,7.05,6.2,,,P,
2151,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1270,CV103T,APPLIED MECHANICS,2,Theory,,,13,,13,10,,10,0,0,0,23,10,,33,DD,4,4,4,37,141,469,7.05,6.2,,,P,
2152,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1268,CS104T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,14,,14,5,,5,0,0,0,19,14,,33,DD,4,4,4,37,129,439,6.45,5.63,,,P,
2152,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1270,CV103T,APPLIED MECHANICS,2,Theory,,,15,,15,2,,2,0,0,0,17,14,,31,DD,4,4,4,37,129,439,6.45,5.63,,,P,
2153,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1268,CS104T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,13,,13,4,,4,0,0,0,17,12,,29,FF,0,5,0,27,90,344,4.5,3.9,,,F,
2153,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1270,CV103T,APPLIED MECHANICS,2,Theory,,,9,,9,0,,0,0,0,0,9,0,,9,FF,0,5,0,27,90,344,4.5,3.9,,,F,
2153,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1284,AS107L,STATISTICS & INTEGRAL CALCULUS,1,Practical,0,0,0,0,0,0,0,0,,,,0,902,,0,FF,0,5,0,27,90,344,4.5,3.9,,,F,
2155,9,17,B. Tech-Department of Mechanical Engineering-Mechanical Engineering-2022-23 (CBCS),1270,CV103T,APPLIED MECHANICS,2,Theory,,,11,,11,10,,10,0,0,0,21,12,,33,DD,4,2,2,40,137,470,6.85,6.08,,,P,
